research_field,topic_words,topic_label
Accessibility,"cognitive, disability, neurodiversity, support, usability",Cognitive Accessibility Research
Accessibility,"captioning, transcripts, deaf, hearing, audio",Media Accessibility Solutions
Accessibility,"design, inclusive, universal, environments, built",Universal Design Principles
Accessibility,"mobile, apps, interface, touch, gestures",Mobile Accessibility Design
Accessibility,"policy, legislation, disability, rights, equity",Accessibility Policy and Law
"Fiber, Textile, and Weaving Arts","loom, warp, weft, harness, shuttle",Woven Textile Structures
"Fiber, Textile, and Weaving Arts","natural, dyeing, mordant, pigment, colorfastness",Natural Fiber Dyeing
"Fiber, Textile, and Weaving Arts","wool, cotton, silk, linen, synthetic",Fiber Material Science
"Fiber, Textile, and Weaving Arts","knitting, crochet, interlooping, gauge, tension",Knitted Fabric Production
"Fiber, Textile, and Weaving Arts","smart, conductivity, sensor, wearable, electronic",Smart and E-Textiles
"Fiber, Textile, and Weaving Arts","felting, nonwoven, bonding, needling, web",Nonwoven Fabric Technology
"Fiber, Textile, and Weaving Arts","pattern, repeat, jacquard, twill, satin",Textile Pattern Design
"Navigation, Guidance, Control, and Dynamics","kalman, filter, estimation, probability, random",Kalman Filtering and Estimation
"Navigation, Guidance, Control, and Dynamics","kinematics, dynamics, motion, six-degree, control",Six-DOF Kinematics and Dynamics
"Navigation, Guidance, Control, and Dynamics","inertial, measurement, sensor, unit, system",Inertial Navigation Systems
"Navigation, Guidance, Control, and Dynamics","trajectory, planning, optimal, path, algorithm",Optimal Trajectory Planning
"Navigation, Guidance, Control, and Dynamics","missile, homing, guidance, proportional, navigation",Missile Guidance Techniques
"Navigation, Guidance, Control, and Dynamics","attitude, determination, control, stabilization, satellite",Attitude Determination and Control
"Navigation, Guidance, Control, and Dynamics","feedback, linear, nonlinear, adaptive, robust",Advanced Control Systems
Music Theory,"harmony, chord, progression, voice, leading",Harmonic Analysis
Music Theory,"rhythm, meter, tempo, pulse, syncopation",Rhythmic Structure and Meter
Music Theory,"form, sonata, rondo, binary, ternary",Musical Form and Structure
Music Theory,"pitch, interval, scale, tonality, key",Pitch Systems and Tonality
Music Theory,"set, theory, atonal, pitch-class, dodecaphony",Atonal Set Theory
Music Theory,"corpus, analysis, statistical, data, computation",Computational Music Analysis
Music Theory,"perception, cognition, expectation, psychology, listening",Music Perception and Cognition
Musicology,"harmony, rhythm, melody, form, analysis",Music Theory and Analysis
Musicology,"composer, era, style, influence, performance",History of Musical Traditions
Musicology,"culture, ethnicity, tradition, fieldwork, world",Ethnomusicology and Cultural Context
Musicology,"aesthetics, perception, emotion, meaning, listeners",Music Perception and Aesthetics
Musicology,"source, manuscript, notation, edition, textual",Source Studies and Notation
Musicology,"gender, sexuality, identity, feminism, representation",Gender and Sexuality in Music
Musicology,"digital, algorithm, computation, data, modeling",Computational Musicology Methods
American Art and Architecture,"federal, neoclassical, republic, early, revival",Early American Architectural Styles
American Art and Architecture,"abstract, expressionism, pop, conceptual, modernism",Modern American Art Movements
American Art and Architecture,"skyscraper, chicago, steel, commercial, urban",American Skyscraper Architecture
American Art and Architecture,"colonial, georgian, saltbox, dutch, vernacular",Colonial Period Architecture
American Art and Architecture,"frank, wright, prairie, organic, modern",Frank Lloyd Wright's Architecture
American Art and Architecture,"painting, landscape, hudson, school, romantic",American Romantic Landscape Painting
American Art and Architecture,"victorian, gothic, italianate, second, queen",Victorian Era Architectural Styles
Podiatry,"diabetes, foot, ulcer, neuropathy, amputation",Diabetic Foot Care
Podiatry,"biomechanics, gait, orthotics, pressure, footwear",Foot Biomechanics & Orthotics
Podiatry,"surgery, hallux, bunion, forefoot, procedure",Podiatric Foot Surgery
Podiatry,"fungal, skin, nail, infection, dermatology",Podiatric Dermatology
Podiatry,"pain, heel, plantar, fasciitis, musculoskeletal",Musculoskeletal Foot Pathology
Podiatry,"sports, injury, athletes, rehabilitation, running",Sports Podiatry & Injuries
Podiatry,"wounds, healing, dressing, assessment, management",Wound Care Management
Other American Studies,"race, ethnicity, identity, multiculturalism, migration","Race, Ethnicity, and Identity"
Other American Studies,"visual, material, culture, media, popular",Popular and Visual Culture
Other American Studies,"border, diaspora, transnational, globalization, geography",Transnational American Studies
Other American Studies,"gender, sexuality, queer, feminist, performance",Gender and Sexuality Studies
Other American Studies,"neoliberalism, capitalism, labor, economy, class",Economics and Class Studies
Other American Studies,"historical, memory, public, archive, narrative",Public Memory and History
Other American Studies,"law, citizenship, politics, governance, rights","Law, Politics, and Rights"
"Other Feminist, Gender, and Sexuality","intersectional, identity, oppression, privilege, marginalization",Intersectional Feminist Theory
"Other Feminist, Gender, and Sexuality","queer, theory, normativity, performativity, desire",Queer Theory and Normativity
"Other Feminist, Gender, and Sexuality","transgender, nonbinary, genderfluid, transition, affirmation",Transgender and Nonbinary Studies
"Other Feminist, Gender, and Sexuality","ecofeminism, nature, environmental, domination, reproduction",Ecofeminism and Environment
"Other Feminist, Gender, and Sexuality","masculinities, hegemonic, patriarchy, men, power",Critical Masculinity Studies
"Other Feminist, Gender, and Sexuality","cyborg, technology, posthumanism, digital, body",Feminist Posthumanism and Tech
"Other Feminist, Gender, and Sexuality","care, ethics, labor, affect, social",Feminist Ethics of Care
Poultry or Avian Science,"broiler, layer, production, management, housing",Poultry Production Systems
Poultry or Avian Science,"egg, quality, composition, shell, nutrients",Egg Quality and Composition
Poultry or Avian Science,"nutrition, feed, dietary, amino, digestibility",Avian Nutrition and Feeding
Poultry or Avian Science,"disease, immunity, vaccine, pathogen, health",Avian Health and Disease
Poultry or Avian Science,"genetics, breeding, heritability, selection, genome",Avian Genetics and Breeding
Poultry or Avian Science,"intestinal, microbiome, gut, probiotics, ceca",Gut Health and Microbiome
Poultry or Avian Science,"behavior, welfare, stress, enrichment, pecking",Avian Behavior and Welfare
Algebraic Geometry,"variety, hypersurface, affine, projective, dimension",Classical Algebraic Varieties
Algebraic Geometry,"scheme, sheaf, cohomology, morphism, local",Modern Scheme Theory
Algebraic Geometry,"curve, surface, moduli, birational, minimal",Birational Classification of Varieties
Algebraic Geometry,"hodge, cycle, theory, complex, manifold",Hodge Theory and Cycles
Algebraic Geometry,"groebner, basis, ideal, polynomial, decomposition",Computational Algebraic Geometry
Algebraic Geometry,"divisor, linear, system, invertible, bundle",Linear Systems and Divisors
Algebraic Geometry,"arithmetic, function, field, number, elliptic",Arithmetic Algebraic Geometry
Acting,"method, stanislavski, emotion, sensory, realism",Method Acting Techniques
Acting,"vocal, projection, diction, breath, articulation",Vocal Performance Skills
Acting,"improvisation, spontaneity, scene, partner, yes-and",Improvisational Theatre
Acting,"movement, body, physicality, gesture, stage",Physical Theatre and Movement
Acting,"character, analysis, motivation, biography, objective",Character Development
Acting,"audition, monologue, sides, cold-reading, casting",Auditioning Processes
Acting,"shakespeare, verse, rhythm, text, classical",Classical Text Performance
Tissues,"epithelial, connective, muscle, nervous, histology",Basic Tissue Types
Tissues,"scaffold, biomaterial, regeneration, stem, bioreactor",Tissue Engineering and Regeneration
Tissues,"cell, matrix, extracellular, fibrosis, collagen",Extracellular Matrix Studies
Tissues,"pathology, biopsy, staining, microscopy, diagnosis",Tissue Pathology and Imaging
Tissues,"differentiation, organogenesis, development, embryology, morphogenesis",Tissue Development and Formation
Tissues,"ischemia, inflammation, repair, wound, healing",Tissue Repair and Injury
Tissues,"adipose, cartilage, bone, blood, lymph",Specialized Connective Tissues
Ceramic Arts,"glaze, firing, chemistry, kiln, composition",Glaze Chemistry & Firing
Ceramic Arts,"clay, handbuilding, throwing, slab, coil",Ceramic Forming Techniques
Ceramic Arts,"vessel, form, function, pottery, sculpture",Ceramic Form and Function
Ceramic Arts,"historical, archaeology, ancient, culture, tradition",Historical Ceramic Traditions
Ceramic Arts,"decoration, surface, sgraffito, underglaze, maiolica",Surface Decoration Techniques
Ceramic Arts,"contemporary, modern, installation, design, theory",Contemporary Ceramic Art
Ceramic Arts,"porcelain, stoneware, earthenware, materials, terra",Ceramic Materials Science
Fiction,"narrative, plot, structure, storytelling, agency",Narrative Structure and Plot
Fiction,"character, development, psychology, motivation, protagonist",Character and Development
Fiction,"genre, fantasy, science, speculative, dystopian",Speculative and Genre Fiction
Fiction,"setting, worldbuilding, place, environment, geography",Setting and Worldbuilding
Fiction,"style, language, voice, prose, rhythm",Fictional Style and Language
Fiction,"reader, reception, interpretation, audience, engagement",Reader Response Theory
Fiction,"historical, modernism, postcolonial, contemporary, period",Historical Contexts of Fiction
Visual Studies,"gaze, subjectivity, spectatorship, power, theory",Gaze and Spectatorship Theory
Visual Studies,"image, culture, digital, media, circulation",Digital Image Culture
Visual Studies,"photography, index, representation, archive, history",History and Theory of Photography
Visual Studies,"visual, perception, cognition, semiotics, meaning",Visual Perception and Semiotics
Visual Studies,"body, performance, gender, queer, identity",Visual Culture and Identity
Visual Studies,"materiality, object, display, museum, collection",Materiality of Visual Objects
Visual Studies,"surveillance, data, mapping, algorithm, control",Visual Technologies of Control
International Economics,"trade, tariff, agreement, export, import",International Trade Policy
International Economics,"exchange, rate, currency, volatility, regime",Foreign Exchange Markets
International Economics,"capital, flow, investment, foreign, fdi",International Capital Flows
International Economics,"crisis, debt, financial, imf, sovereign",Global Financial Crises
International Economics,"growth, development, inequality, aid, poverty",Economic Growth and Development
International Economics,"supply, chain, globalization, outsourcing, production",Global Supply Chains
International Economics,"multinational, firm, behavior, location, taxation",Multinational Firm Behavior
Medieval History,"feudalism, vassal, lord, fief, knight",Feudal Social Structure
Medieval History,"crusades, jerusalem, papal, holy, military",History of the Crusades
Medieval History,"cathedral, iconography, manuscript, art, architecture",Medieval Art and Architecture
Medieval History,"scholasticism, university, aquinas, aristotle, philosophy",Medieval Intellectual History
Medieval History,"monasticism, abbey, monk, church, pilgrimage",Religious Life and Monasteries
Medieval History,"black, death, plague, epidemic, demography",The Black Death Crisis
Medieval History,"byzantine, constantinople, empire, eastern, roman",Byzantine Empire Studies
Melanesian Studies,"big-man, leadership, prestige, exchange, kinship",Melanesian Political Systems
Melanesian Studies,"pigs, kula, shell, valuables, moka",Ceremonial Exchange Networks
Melanesian Studies,"ancestors, spirit, magic, sorcery, religion",Traditional Religious Beliefs
Melanesian Studies,"austronesian, papuan, languages, linguistic, diversity",Language Diversity and Origins
Melanesian Studies,"mask, carving, wood, art, ritual",Traditional Art and Carving
Melanesian Studies,"cargo, cult, millenarian, movement, colonialism",Cargo Cult Movements
Melanesian Studies,"settlement, patterns, gardening, yam, subsistence",Traditional Subsistence Practices
Signal Processing,"discrete, fourier, transform, frequency, analysis",Discrete Fourier Analysis
Signal Processing,"filter, design, fir, iir, response",Digital Filter Design
Signal Processing,"noise, reduction, denoising, kalman, estimation",Noise Reduction and Estimation
Signal Processing,"sampling, rate, nyquist, aliasing, conversion",Sampling Theory and Conversion
Signal Processing,"wavelet, time-frequency, multiresolution, decomposition, sparsity",Wavelet Time-Frequency Analysis
Signal Processing,"speech, recognition, audio, voice, processing",Speech and Audio Processing
Signal Processing,"image, compression, video, jpeg, coding",Image and Video Compression
Categorical Data Analysis,"contingency, table, independence, association, chi-square",Two-Way Table Analysis
Categorical Data Analysis,"logistic, regression, binary, odds, ratio",Binary Response Modeling
Categorical Data Analysis,"nominal, ordinal, measures, agreement, kappa",Categorical Variable Types
Categorical Data Analysis,"loglinear, models, hierarchical, interactions, structure",Multivariate Count Data
Categorical Data Analysis,"repeated, measures, longitudinal, gee, mcnemar",Repeated Categorical Data
Categorical Data Analysis,"correspondence, analysis, dimensionality, visualize, biplot",Correspondence Analysis
Categorical Data Analysis,"latent, class, mixture, unobserved, classification",Latent Class Modeling
Geomorphology,"erosion, transport, deposition, sediment, landforms",Erosion and Sediment Dynamics
Geomorphology,"glacier, moraine, periglacial, ice, meltwater",Glacial and Periglacial Processes
