research_field,topic_label,topic_words
LoRa modulation and performance analysis,Spreading Factor Optimization,"spreading, factor, datarate, range, tradeoff"
LoRa modulation and performance analysis,Interference and Coexistence,"interference, coexistence, collision, duty-cycle, throughput"
LoRa modulation and performance analysis,Bit Error Rate Analysis,"ber, snr, fading, channel, analysis"
LoRa modulation and performance analysis,LoRaWAN Protocol Performance,"lorawan, mac, network, gateway, end-device"
LoRa modulation and performance analysis,Energy Efficiency in LoRa,"energy, battery, power, consumption, efficiency"
Wireless sensor networks,Energy Efficient WSNs,"energy, efficiency, lifetime, power, management"
Wireless sensor networks,Sensor Node Localization,"localization, node, positioning, tracking, geographical"
Wireless sensor networks,WSN Security and Trust,"security, intrusion, encryption, threat, detection"
Wireless sensor networks,In-Network Data Processing,"data, aggregation, compression, processing, storage"
Wireless sensor networks,Quality of Service,"quality, service, qos, latency, reliability"
Wireless sensor networks,MAC Layer Scheduling,"mac, scheduling, access, collision, medium"
IoT communications,Standard IoT Protocols,"protocol, mqtt, coap, lorawan, http"
IoT communications,IoT Security and Privacy,"security, privacy, authentication, encryption, trust"
IoT communications,Low-Power Wide Area Networks,"low-power, lpwan, energy, efficiency, battery"
IoT communications,IoT Resource Management,"network, resource, allocation, optimization, management"
IoT communications,Edge and Fog Computing,"edge, fog, computing, processing, offloading"
IoT communications,Wireless Sensor Networking,"wireless, sensor, m2m, devices, connectivity"
Energy-efficient communications,Low-Power IoT Communication,"lpwan, iot, low-power, sensor, battery"
Energy-efficient communications,MAC Layer Efficiency Protocols,"mac, protocol, sleep, wakeup, duty-cycle"
Energy-efficient communications,Wireless Resource Optimization,"resource, allocation, scheduling, power, optimization"
Energy-efficient communications,Data Center Energy Reduction,"hvac, cooling, data, centers, consumption"
Energy-efficient communications,AI for Energy Management,"ai, machine, learning, predictive, management"
Energy-efficient communications,Smart Grid Energy Efficiency,"smart, grid, demand, response, utility"
Resource Allocation,Cloud Resource Management,"cloud, storage, computing, cpu, bandwidth"
Resource Allocation,Project Resource Planning,"project, management, capacity, planning, workload"
Resource Allocation,Energy-Efficient Resource Use,"energy, power, consumption, green, sustainability"
Cloud/edge/offloading in wireless/mobile networks,Mobile Edge Computation Offloading,"offloading, computation, edge, mobile, latency"
Cloud/edge/offloading in wireless/mobile networks,Wireless Resource Allocation Optimization,"resource, allocation, scheduling, wireless, optimization"
Cloud/edge/offloading in wireless/mobile networks,Hierarchical Edge-Cloud Architectures,"cloud, fog, edge, hierarchy, deployment"
Cloud/edge/offloading in wireless/mobile networks,Content Caching at the Edge,"caching, content, distribution, prefetching, edge"
Cloud/edge/offloading in wireless/mobile networks,Federated Learning in Edge Networks,"learning, federated, edge, distributed, training"
Cloud/edge/offloading in wireless/mobile networks,Security and Privacy in Edge Computing,"security, privacy, authentication, trust, data"
Image Encryption,Chaos-Based Image Encryption,"scrambling, diffusion, permutation, pixel, confusion"
Image Encryption,Conventional Encryption Algorithms,"stream, block, cipher, aes, des"
Image Encryption,Transform Domain Encryption,"transform, wavelet, fourier, domain, dct"
Image Encryption,Image Security Analysis,"security, analysis, histogram, entropy, correlation"
Image Encryption,AI in Image Cryptography,"neural, convolutional, network, deep, machine"
Image Encryption,DNA-Based Image Cryptography,"dna, rna, nucleotides, sequence, biological"
Image Encryption,Encrypted Image Compression,"compression, lossless, jpeg, data, efficiency"
Digital Signal Processing,Frequency Domain Analysis,"fft, dft, transform, frequency, analysis"
Digital Signal Processing,Digital Filter Design,"convolution, filter, impulse, response, design"
Digital Signal Processing,Signal Conversion Principles,"sampling, quantization, aliasing, reconstruction, theorem"
Digital Signal Processing,Wavelet Signal Processing,"wavelet, decomposition, multiresolution, compression, denoising"
Digital Signal Processing,Audio Signal Processing,"speech, audio, voice, recognition, enhancement"
Digital Signal Processing,Spectral Estimation Methods,"estimation, spectral, power, density, periodogram"
Digital Communications,Digital Modulation Techniques,"modulation, demodulation, carrier, symbol, techniques"
Digital Communications,Channel Coding & Error Control,"channel, coding, error, detection, correction"
Digital Communications,Multiple Access and Sharing,"multiplexing, access, multiple, frequency, division"
Digital Communications,Wireless Communication Networks,"networks, wireless, cellular, protocols, standards"
Digital Communications,Digital Signal Processing,"signal, processing, digital, sampling, filter"
Digital Communications,Information Theory Principles,"information, theory, entropy, capacity, shannon"
Digital Communications,Channel Impairments and Performance,"fading, interference, noise, channel, performance"
Cellular Mobile Communications,Next-Generation Cellular Networks,"5g, beyond, latency, massive, mimo"
Cellular Mobile Communications,Dynamic Spectrum Management,"spectrum, sensing, cognitive, dynamic, allocation"
Cellular Mobile Communications,IoT and Wireless Sensor Networks,"internet, iot, sensor, energy, network"
Cellular Mobile Communications,Mobile Edge Computing,"edge, computing, mobile, offloading, distributed"
Cellular Mobile Communications,Mobile Network Security,"security, blockchain, framework, threat, encryption"
Cellular Mobile Communications,Resource Allocation Optimization,"resource, optimization, scheduling, power, allocation"
Cellular Mobile Communications,Vehicular Communications (V2X),"vehicle, v2x, d2d, communication, vehicular"
Wireless communications systems,Massive MIMO Systems,"mimo, massive, channel, precoding, diversity"
Wireless communications systems,Cognitive Radio Spectrum Management,"spectrum, cognitive, resource, allocation, interference"
Wireless communications systems,Next-Generation Mobile Networks,"5g, 6g, networks, future, broadband"
Wireless communications systems,Physical Layer Security,"security, encryption, privacy, physical, authentication"
Wireless communications systems,Wireless Channel Modeling,"channel, estimation, equalization, propagation, modeling"
Wireless communications systems,IoT Sensor Networks,"iot, sensor, low-power, lpwan, connectivity"
Wireless communications systems,Advanced Modulation and Coding,"modulation, coding, ofdm, techniques, performance"
Channel Estimation,MIMO-OFDM Channel Modeling,"mimo, ofdm, wireless, systems, multipath"
Channel Estimation,LS Channel Estimation Techniques,"least, squares, estimation, pilot-based, performance"
Channel Estimation,MMSE Estimation Algorithms,"mmse, minimization, error, linear, adaptive"
Channel Estimation,Deep Learning Channel Estimation,"deep, learning, neural, networks, data-driven"
Channel Estimation,Sparse Channel Estimation,"compressed, sensing, sparse, channel, recovery"
Channel Estimation,Blind Channel Estimation Methods,"blind, subspace, hos-based, conventional, data"
Channel Estimation,Massive MIMO Channel Estimation,"massive, hybrid, millimeter-wave, beamforming, 5g"
MIMO Systems,Massive MIMO Beamforming,"antenna, massive, beamforming, arrays, spatial"
MIMO Systems,Channel Estimation Challenges,"channel, estimation, feedback, aging, delay"
MIMO Systems,Efficiency Optimization in MIMO,"spectral, energy, efficiency, performance, optimization"
MIMO Systems,Multi-User Interference Mitigation,"multi-user, interference, mitigation, detection, scheduling"
MIMO Systems,Adaptive Precoding Techniques,"precoding, adaptive, matrix, downlink, uplink"
MIMO Systems,MmWave MIMO Systems,"millimeter, wave, frequency, propagation, band"
MIMO Systems,Reconfigurable Intelligent Surfaces,"ris, intelligent, surfaces, reflecting, reconfigurable"
Cooperative Relaying,Cooperative Diversity Techniques,"diversity, spatial, fading, channel, combine"
Cooperative Relaying,Optimal Relay Selection Schemes,"selection, best, protocol, performance, outage"
Cooperative Relaying,Amplify-and-Forward Protocols,"amplify, forward, decode, protocol, information"
Cooperative Relaying,Cooperative NOMA Networks,"noma, access, multiple, interference, power"
Cooperative Relaying,Resource Allocation Optimization,"resource, allocation, power, spectrum, optimization"
Cooperative Relaying,Secure Cooperative Communication,"secure, secrecy, jamming, eavesdropper, physical"
Cooperative Relaying,Practical Cooperative Systems,"synchronization, distributed, network, asynchronous, practical"
NOMA Networks,NOMA Resource Allocation,"power, allocation, user, grouping, optimization"
NOMA Networks,Successive Interference Cancellation,"successive, interference, cancellation, sic, receiver"
NOMA Networks,NOMA Performance Enhancement,"spectral, efficiency, massive, connectivity, performance"
NOMA Networks,NOMA Multiple Access Schemes,"power-domain, code-domain, scma, pdma, techniques"
NOMA Networks,Channel State Information,"channel, estimation, csi, fading, modeling"
NOMA Networks,AI for NOMA Optimization,"deep, learning, ai, machine, optimization"
NOMA Networks,Advanced NOMA System Architectures,"cooperative, relaying, ris, mimo, systems"
RIS Technology,Intelligent Reflecting Surfaces,"reconfigurable, surface, intelligent, reflection, metasurface"
RIS Technology,RIS Channel Optimization,"channel, estimation, passive, phase, optimization"
RIS Technology,Passive Beamforming Arrays,"beamforming, passive, array, gain, direction"
RIS Technology,RIS in Wireless Communications,"wireless, communications, mimo, noma, coverage"
RIS Technology,Energy Efficient RIS,"energy, efficiency, harvesting, low-power, consumption"
RIS Technology,Physical Layer Security,"security, privacy, physical-layer, eavesdropping, encryption"
RIS Technology,AI-Driven RIS Control,"reinforcement, learning, ai, control, deep"
Power Optimization,Energy Consumption Efficiency,"consumption, efficiency, reduction, management, system"
Power Optimization,Optimization Algorithms & Modeling,"algorithms, mathematical, linear, nonlinear, constraints"
Power Optimization,Wireless Network Power Allocation,"wireless, transmission, resource, allocation, network"
Power Optimization,AI for Power Optimization,"machine, learning, predictive, forecasting, adaptive"
Full-Duplex Systems,Self-Interference Cancellation Techniques,"self-interference, cancellation, analog, digital, mitigation"
Full-Duplex Systems,Simultaneous Bidirectional Wireless Communication,"duplex, transmission, simultaneous, bidirectional, wireless"
Full-Duplex Systems,MIMO Full-Duplex Systems,"mimo, networks, beamforming, massive, spatial"
Full-Duplex Systems,Full-Duplex Performance Metrics,"throughput, efficiency, spectrum, data, rate"
Full-Duplex Systems,Full-Duplex Hardware Implementation,"hardware, circuit, integrated, rf, design"
Full-Duplex Systems,Channel Estimation and Modeling,"channel, estimation, modeling, equalization, propagation"
Radio Frequency,Antenna Design and Arrays,"antenna, design, radiation, impedance, array"
Radio Frequency,Microwave and mmWave Circuits,"microwave, frequency, millimeterwave, circuits, waveguide"
Radio Frequency,Radio Wave Propagation,"propagation, channel, fading, electromagnetic, pathloss"
Radio Frequency,RF Transceiver Systems,"transmitter, receiver, transceiver, modulation, system"
Radio Frequency,RF Circuit Components,"lna, mixer, amplifier, oscillator, filter"
Radio Frequency,RF Power Amplifiers,"power, linearity, efficiency, amplifier, consumption"
Radio Frequency,RF Characterization and Modeling,"s-parameters, matching, network, measurement, simulation"
Microwave Technology,Antenna and Array Design,"antenna, array, matching, feed, phased"
Microwave Technology,Passive Component Modeling,"filter, coupler, splitter, waveguide, resonator"
Microwave Technology,Active Circuit Design,"amplifier, oscillator, mixer, noise, gain"
Microwave Technology,Microwave Sensing Systems,"radar, sensing, detection, imaging, system"
Microwave Technology,Transmission Line Theory,"transmission, line, impedance, microstrip, s-parameters"
Microwave Technology,Signal Processing Techniques,"fourier, time, frequency, signal, spectrum"
Microwave Technology,High-Power Microwave Devices,"power, device, semiconductor, gallium, nitride"
Antenna Design,Microstrip Patch Antennas,"microstrip, patch, substrate, radiation, impedance"
Antenna Design,Antenna Arrays and MIMO,"array, mimo, beamforming, phased, coupling"
Antenna Design,Ultrawideband Antenna Systems,"ultrawideband, frequency, bandwidth, impulse, time"
Antenna Design,Wearable and Implantable Antennas,"wearable, implantable, flexible, medical, body"
Antenna Design,Metamaterial-Based Antenna Structures,"metamaterial, structure, composite, negative, refractive"
Antenna Design,Reconfigurable Antenna Design,"reconfigurable, tuning, switch, p-i-n, frequency"
Radio Frequency,Antenna Theory and Design,"antenna, array, design, radiation, impedance"
Radio Frequency,RF and Microwave Circuits,"microwave, millimeterwave, circuits, passive, active"
Radio Frequency,RF Signal Propagation,"signal, propagation, channel, fading, electromagnetic"
Radio Frequency,RF Power Amplifiers,"amplifier, power, linearization, efficiency, wideband"
Radio Frequency,RF Filtering and Components,"filter, duplexer, frequency, selectivity, resonator"
Radio Frequency,Wireless RF Systems,"wireless, communication, systems, receiver, transmitter"
Radio Frequency,RF Sensing and Radar,"sensing, radar, imaging, remote, detection"
Microwave Technology,Antenna Array Beamforming,"antenna, array, phased, beamforming, gain"
Microwave Technology,Microwave Circuit Components,"circuits, devices, passive, active, components"
Microwave Technology,High-Efficiency Power Amplifiers,"power, amplifier, doherty, efficiency, linearity"
Microwave Technology,Wireless Communication Systems,"wireless, communication, systems, 5g, satellite"
Microwave Technology,Substrate Integrated Waveguide Components,"waveguide, substrate, integrated, filter, coupler"
Microwave Technology,Radar System Design,"radar, systems, duplexer, transmitter, receiver"
Microwave Technology,Metamaterials and Modeling,"metamaterial, electromagnetic, characterization, modeling, simulation"
Antenna Design,Phased Array Beam Steering,"phased, array, beamforming, scanning, elements"
Antenna Design,Microstrip Patch Antenna,"microstrip, patch, substrate, fed, resonant"
Antenna Design,Dielectric Resonator Antennas,"dielectric, resonator, modes, radiation, efficiency"
Antenna Design,Metamaterial Antenna Structures,"metamaterial, unit, cell, surface, negative"
Antenna Design,Multiband Antenna Systems,"multiband, wideband, frequency, reconfigurable, tuning"
Antenna Design,MIMO Antenna Design,"mimo, multiple, channel, correlation, capacity"
Network Resource Optimization,Network Performance Metrics,"bandwidth, throughput, latency, congestion, qos"
Network Resource Optimization,Resource Allocation Mechanisms,"allocation, scheduling, fairness, optimization, capacity"
Network Resource Optimization,AI for Network Optimization,"machine, learning, reinforcement, predictive, automation"
Network Resource Optimization,Energy-Efficient Networking,"energy, consumption, efficiency, green, sustainable"
Network Resource Optimization,Edge Computing Resource Allocation,"edge, cloud, offloading, computing, mobile"
Network Resource Optimization,Intelligent Traffic Management,"traffic, engineering, routing, load, balancing"
Wireless Networking,Next-Generation Wireless Networks,"five-g, six-g, massive, mimo, cell"
Wireless Networking,IoT Sensor Networks,"iot, sensor, low-power, lpwan, connectivity"
Wireless Networking,Network Resource Optimization,"resource, allocation, scheduling, optimization, spectrum"
Wireless Networking,Mobile Edge Computing,"mobile, edge, computing, caching, offloading"
Wireless Networking,Wireless Network Security,"security, privacy, authentication, encryption, threats"
Wireless Networking,Ad-Hoc and Mesh Networks,"mesh, ad-hoc, routing, protocol, architecture"
Mobile Edge Computing,Computation Offloading Strategies,"offloading, computation, task, delay, resource"
Mobile Edge Computing,Mobile User Mobility Management,"mobility, handover, tracking, user, management"
Mobile Edge Computing,Edge Computing for IoT,"iot, sensor, data, processing, network"
Mobile Edge Computing,Edge Security and Privacy,"security, privacy, authentication, encryption, trust"
Mobile Edge Computing,Content Caching and Delivery,"caching, content, distribution, storage, delivery"
Mobile Edge Computing,Network Performance Optimization,"latency, throughput, reliability, performance, optimization"
Mobile Edge Computing,Wireless Resource Allocation,"spectrum, scheduling, allocation, interference, wireless"
Distributed Systems,Fault Tolerance & Consensus,"consistency, fault, replication, paxos, raft"
Distributed Systems,System Scalability & Performance,"concurrency, scalability, latency, throughput, performance"
Distributed Systems,Distributed Communication Protocols,"message, rpc, protocol, inter-process, communication"
Distributed Systems,Resource Management & Allocation,"scheduling, resource, allocation, load, balancing"
Distributed Systems,Security in Distributed Systems,"security, encryption, trust, privacy, access"
Distributed Systems,Modern Distributed Architectures,"serverless, microservices, container, orchestration, cloud"
Linear & Non-Linear Optimization,Linear Programming Methods,"simplex, dual, constraints, feasible, maximization"
Linear & Non-Linear Optimization,Unconstrained Nonlinear Optimization,"gradient, newton, descent, hessian, unconstrained"
Linear & Non-Linear Optimization,Constrained Optimization Conditions,"karush, kuhn, tucker, optimality, constrained"
Linear & Non-Linear Optimization,Nonlinear Optimization Algorithms,"penalty, augmented, lagrangian, barrier, multiplier"
Linear & Non-Linear Optimization,Discrete Optimization,"integer, mixed, branch, bound, combinatorial"
Linear & Non-Linear Optimization,Optimization Step Strategies,"trust, region, linesearch, search, step"
Smart Grid Systems,Grid Reliability and Fault Detection,"detection, self-healing, fault, reliability, estimation"
Smart Grid Systems,Smart Grid Cybersecurity,"security, cyber, protection, privacy, attack"
Smart Grid Systems,Energy Management & Optimization,"optimization, resource, load, energy, management"
Smart Grid Systems,Microgrid Stability and Resilience,"microgrids, islanding, stability, resilience, local"
Energy Management,Demand Response Strategies,"demand, response, load, shedding, pricing"
Energy Management,Renewable Energy Integration,"renewable, integration, grid, stability, forecasting"
Energy Management,Smart Grid Technologies,"smart, grid, communication, infrastructure, metering"
Energy Management,Energy Storage Optimization,"storage, battery, optimization, capacity, scheduling"
Energy Management,Building Energy Efficiency,"building, efficiency, hvac, lighting, insulation"
Energy Management,Energy Performance Analysis,"audits, monitoring, consumption, analysis, baseline"
Energy Management,Microgrid Design & Resilience,"microgrids, resilience, decentralized, reliability, islanding"
Home Energy Optimization,Smart Thermostat Control,"smart, thermostat, hvac, scheduling, control"
Home Energy Optimization,Intelligent Load Management,"load, shifting, appliances, storage, management"
Home Energy Optimization,Home Renewable Energy Systems,"photovoltaic, solar, battery, generation, microgrid"
Home Energy Optimization,Building Envelope Efficiency,"insulation, air, sealing, envelope, efficiency"
Home Energy Optimization,Occupant Behavior and Energy,"behavior, occupancy, awareness, feedback, user"
Home Energy Optimization,Smart Lighting Optimization,"lighting, led, fixtures, dimming, automation"
Advanced materials,Nanomaterials and Synthesis,"nanoparticles, graphene, carbon, synthesis, functionalization"
Advanced materials,Composite Materials Mechanics,"polymer, composite, matrix, fiber, strength"
Advanced materials,Ceramic Processing and Structure,"ceramic, oxide, sintering, structural, porosity"
Advanced materials,Electronic Materials Design,"electronic, semiconductor, device, fabrication, transistor"
Advanced materials,Energy Storage Materials,"battery, storage, electrode, electrolyte, cathode"
Advanced materials,Biomaterials for Tissue Engineering,"scaffold, tissue, regeneration, biocompatibility, implant"
Advanced materials,Computational Materials Science,"computational, modeling, simulation, molecular, density"
composites,Fiber-Matrix Interfacial Science,"fiber, matrix, interfacial, reinforcement, polymer"
composites,Composite Mechanical Properties,"mechanical, tensile, strength, modulus, failure"
composites,Nanocomposite Materials & Fillers,"nanocomposites, carbon, cnts, graphene, filler"
composites,Composite Processing & Manufacturing,"processing, fabrication, curing, laminate, molding"
composites,Damage and Failure Analysis,"damage, fracture, delamination, fatigue, cracking"
composites,Sustainable & Bio-Composites,"bio, natural, recycling, sustainable, cellulose"
materials for solar energy,Perovskite Solar Cells Research,"perovskite, stability, efficiency, structure, halide"
materials for solar energy,Crystalline Silicon PV Technology,"silicon, crystalline, photovoltaic, wafer, cell"
materials for solar energy,Organic Photovoltaic Materials,"polymer, organic, flexible, thin-film, absorber"
materials for solar energy,Compound Semiconductor Thin-Films,"cadmium, telluride, copper, indium, selenide"
Materials for Biomedical Applications,Tissue Engineering Scaffolds,"scaffold, tissue, engineering, regeneration, porosity"
